"case_id","case_domain","election_year","case_order","case_label","case_display","electoral_unit","v_Cd","V_d","s_Cd","S_d","a_Cd","b_Cd","d_Cd"
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","CE",3489096,5083860,16,22,0.9012144315539767,-1.2603119572452286,-0.3590975256912519
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","DF",748683,1607519,2,8,-1.7259055725002317,0.21560427588153636,-1.5103012966186953
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","ES",699048,2084430,3,10,-0.35366503072782485,0.07608413093618306,-0.2775808997916418
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","GO",1392355,3439644,8,17,1.1184637131051935,0.3532919406848304,1.4717556537900238
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","MA",1777054,3707930,8,18,-0.6266385827132659,0.2946810514731561,-0.3319575312401098
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","MG",4314285,11181098,22,53,1.54967347571768,0.22221899481712823,1.7718924705348083
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","MS",455335,1374808,2,8,-0.6495917975455482,0.5146921926448443,-0.13489960490070385
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","MT",990953,1730277,4,8,-0.5817080155373966,-0.06450887570787815,-0.6462168912452748
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","PA",3047804,4521516,14,17,2.5408637280062703,-2.830904149706304,-0.2900404217000336
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","PB",737500,2209355,3,12,-1.0056939695069376,0.5478256777782782,-0.45786829172865934
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","PE",2281394,4969863,12,25,0.5238587059643294,0.7795176011000597,1.3033763070643891
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","PI",1203204,1957483,7,10,0.8533106034637338,0.505305043883941,1.358615647347675
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","PR",3155207,6038642,18,30,2.3249177546872293,0.881468361732692,3.2063861164199214
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","RJ",4116308,8575988,25,46,2.9208916803521645,2.7792426760017146,5.700134356353879
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","RN",940492,1864825,4,8,-0.034660624991621196,-0.3749630569398639,-0.4096236819314851
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","RO",453297,869148,6,8,1.8276657140095818,2.046990119162315,3.874655833171897
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","RR",138626,291714,5,8,1.1983038181232304,3.1517294702711056,4.350033288394336
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","RS",3064745,6149822,16,31,0.5512447352134745,1.0792846780286272,1.6305294132421018
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","SC",1764478,3969848,8,16,0.8884813725865575,-1.1614746304208643,-0.2729932578343069
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","SE",695682,1191617,5,8,0.32949261381803047,1.4087084317055258,1.7382010455235564
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","SP",10875766,23321040,33,70,0.35550301358773023,-18.347999826686895,-17.992496813099166
"cabinet/2022/2023.1","cabinet",2022,4,"2023.1","Cabinet 2022/2023.1","TO",278206,830140,1,8,-1.6810513889223504,1.3766450079478916,-0.3044063809744588
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","AC",151112,399201,4,8,0.9717109927079342,2.23202611249534,3.2037371052032744
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","AL",633624,1384584,3,9,-1.1186493560520705,0.7798590518228855,-0.338790304229185
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","AM",1098552,1658407,5,8,-0.29931193006300627,-0.4893494310779537,-0.78866136114096
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","AP",139529,386084,3,8,0.1088364190176231,2.1559356345049805,2.2647720535226035
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","BA",2381628,6646541,13,39,-0.9747113573812304,1.4250660240593465,0.45035466667811613
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","CE",1673270,4367020,8,22,-0.4295331828111618,-0.38752180935701414,-0.817054992168176
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","DF",651611,1454063,4,8,0.414950383855445,0.15147940900422655,0.5664297928596715
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","ES",878387,1794470,5,10,0.10503379828027216,0.26643256195709086,0.371466360237363
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","GO",1938326,3032760,13,17,2.134800643638138,0.651469991256785,2.7862706348949233
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","MA",1558070,3130492,8,18,-0.9587387541638822,0.7487135510302159,-0.21002520313366638
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","MG",5223678,10118666,26,53,-1.3608135696938708,-0.16460443659266594,-1.5254180062865366
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","MS",659787,1276893,4,8,-0.1337026673339113,0.657050207110717,0.5233475397768057
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","MT",744451,1454612,4,8,-0.09429318608673654,0.17151598576963842,0.07722279968290188
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","PA",1952220,3756049,10,17,1.1641887525961456,-1.451130547291895,-0.2869417946957494
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","PB",1122766,1936819,7,12,0.04364940657851869,1.0400970507555074,1.083746457334026
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","PE",2691066,4483227,18,25,2.9936998505763817,0.8261158937123196,3.8198157442887015
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","PI",978952,1733434,7,10,1.3525279877976317,0.4890256056493193,1.8415535934469511
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","PR",3193532,5665222,17,30,0.08875450953201834,0.08338909953954848,0.17214360907156684
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","RJ",3179438,7673438,20,46,0.9402059415870696,2.306203968236688,3.2464099098237575
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","RN",729183,1580871,4,8,0.3099683655402623,-0.15229304138705754,0.15767532415320476
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","RO",438148,798475,6,8,1.6101518519678137,2.0810904396477046,3.6912422916155183
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","RR",96371,238099,5,8,1.761985560628142,2.7302013508384837,4.492186911466626
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","RS",2419302,5942063,12,31,-0.6216033051147388,-0.12655973890233707,-0.7481630440170758
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","SC",2006823,3391619,11,16,1.5327903871277995,-1.1074548169854526,0.42533557014234674
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","SE",537889,1052826,5,8,0.9127985061159204,1.2528729678946409,2.165671474010561
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","SP",10127519,21266194,33,70,-0.33583479958849244,-20.029666259552023,-20.365501059140517
"ideological/2014/05-16","ideological",2014,1,"5-16 PSB-PTN","Ideological 2014/5-16 PSB-PTN","TO",422528,733225,5,8,0.3899226022025981,2.383627027127495,2.773549629330093
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","AC",151112,399201,4,8,0.9717109927079342,2.23202611249534,3.2037371052032744
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","AL",812759,1384584,4,9,-1.283053249206982,1.0003368923849423,-0.2827163568220398
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","AM",1098643,1658407,5,8,-0.29975090553766354,-0.4893899669817872,-0.7891408725194508
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","AP",145974,386084,3,8,-0.024709648677489874,2.2555207040201677,2.230811055342678
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","BA",2405020,6646541,13,39,-1.1119689173661909,1.439062812993133,0.3270938956269421
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","CE",1680707,4367020,8,22,-0.4669990061872856,-0.38924418512194636,-0.856243191309232
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","DF",665281,1454063,4,8,0.33974043765641515,0.1546572613134843,0.4943976989698995
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","ES",881161,1794470,5,10,0.08957519490434501,0.2672739723227599,0.35684916722710497
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","GO",1942746,3032760,13,17,2.1100245321093656,0.6529555501160043,2.76298008222537
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","MA",1572023,3130492,8,18,-1.038967037769143,0.7554185130521562,-0.2835485247169868
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","MG",5228805,10118666,26,53,-1.3876679989239689,-0.16476599458808805,-1.5524339935120568
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","MS",660583,1276893,4,8,-0.13868977275308111,0.6578429053070441,0.5191531325539631
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","MT",745070,1454612,4,8,-0.09769753033798703,0.17165859877598993,0.0739610684380029
"ideological/2014/05-17","ideological",2014,2,"5-17 PSB-PRTB","Ideological 2014/5-17 PSB-PRTB","PA",1952624,3756049,10,17,1.1623602354495375,-1.4514308498915538,-0.2890706144420162
