event_id,date,event_type,record_id,person_id,person_name,office_id,party_id,state,date_status,evidence_ids,decision_ids
affiliation-cfaa63900d22-start,2023-01-01,affiliations_start,affiliation-cfaa63900d22,person-a7e366e12926,Paulo Teixeira,,PT,PARTY,adjudicated_continuity,LEG-8c2a099615fd,PERSON-CONTINUITY-REVIEW
affiliation-d6416c0874e3-start,2023-01-01,affiliations_start,affiliation-d6416c0874e3,person-29d7f5939122,Carlos Lupi,,PDT,PARTY,adjudicated_continuity,LEG-f9f4e4420917,PERSON-CONTINUITY-REVIEW
affiliation-d7b373e5a258-start,2023-01-01,affiliations_start,affiliation-d7b373e5a258,person-03674b52507a,Carlos Fávaro,,PSD,PARTY,adjudicated_continuity,LEG-90750f1c9b17,PERSON-CONTINUITY-REVIEW
affiliation-df5b36b41551-start,2023-01-01,affiliations_start,affiliation-df5b36b41551,person-679284c8b6a4,Cida Gonçalves,,PT,PARTY,adjudicated_continuity,LEG-08b47ecd20aa,PERSON-CONTINUITY-REVIEW
affiliation-e01d874b01f1-start,2023-01-01,affiliations_start,affiliation-e01d874b01f1,person-7e402352458c,Daniela Carneiro,,UNIAO,PARTY,adjudicated_continuity,LEG-caa1bb9ce390,PERSON-CONTINUITY-REVIEW
affiliation-e029d75a963e-start,2023-01-01,affiliations_start,affiliation-e029d75a963e,person-358ab99f9eea,Vinícius Marques de Carvalho,,,UNAFFILIATED,adjudicated_continuity,LEG-b2f5b4a75ce6,PERSON-CONTINUITY-REVIEW
affiliation-e4d954cf8b7a-start,2023-01-01,affiliations_start,affiliation-e4d954cf8b7a,person-77a67c261215,Márcio Macêdo,,PT,PARTY,adjudicated_continuity,LEG-0a3ec5a276d9,PERSON-CONTINUITY-REVIEW
affiliation-e59294a899c0-start,2023-01-01,affiliations_start,affiliation-e59294a899c0,person-bff2f0982308,Camilo Santana,,PT,PARTY,adjudicated_continuity,LEG-0806dae15b5e,PERSON-CONTINUITY-REVIEW
affiliation-ea3c15cc1fb5-start,2023-01-01,affiliations_start,affiliation-ea3c15cc1fb5,person-5b1d1a1c9c4f,André de Paula,,PSD,PARTY,adjudicated_continuity,LEG-edf408f36c08,PERSON-CONTINUITY-REVIEW
affiliation-f502a06a7d7c-start,2023-01-01,affiliations_start,affiliation-f502a06a7d7c,person-60f8b677bb39,Ana Moser,,,UNAFFILIATED,adjudicated_continuity,LEG-6121a2ab7c3d,PERSON-CONTINUITY-REVIEW
affiliation-fc4f41ad7a8c-start,2023-01-01,affiliations_start,affiliation-fc4f41ad7a8c,person-8fe557c5943b,Paulo Pimenta,,PT,PARTY,adjudicated_continuity,LEG-e020f6e27e56,PERSON-CONTINUITY-REVIEW
service-C036-jonathas-assuncao-salvador-nery-de-castro-end,2023-01-01,services_end,service-C036-jonathas-assuncao-salvador-nery-de-castro,person-jonathas-assuncao-salvador-nery-de-castro,Jonathas Assunção Salvador Nery de Castro,bolsonaro-casa-civil,,,adjudicated_succession,C036,C036
service-C044-helder-melillo-lopes-cunha-silva-end,2023-01-01,services_end,service-C044-helder-melillo-lopes-cunha-silva,person-helder-melillo-lopes-cunha-silva,Helder Melillo Lopes Cunha Silva,bolsonaro-desenvolvimento-regional,,,adjudicated_succession,C044,C044
service-df493137b62f-end,2023-01-01,services_end,service-df493137b62f,person-f9bec775a094,José Carlos Oliveira,bolsonaro-trabalho,,,adjudicated_source_boundary,OFF-025;ATLAS-637,OFFICE-ADJUDICATION
service-jair_bolsonaro-0-11-end,2023-01-01,services_end,service-jair_bolsonaro-0-11,person-561613fe4a6e,Maria Estella Dantas Antonichelli,bolsonaro-comunicacoes,,,adjudicated_source_boundary,C028;LEG-3f060ebf15da;V5W5E002,C028;POPULATION-REVIEW;V5W5D002
service-jair_bolsonaro-0-14-end,2023-01-01,services_end,service-jair_bolsonaro-0-14,person-6e95055d8cff,Anderson Torres,bolsonaro-justica,,,adjudicated_actual_entry,AFF-017;AFF-018;AFF-019;LEG-2ffad066f860;OFF-051,R19
service-jair_bolsonaro-0-16-end,2023-01-01,services_end,service-jair_bolsonaro-0-16,person-b8dfe242ff4d,Marcos Montes,bolsonaro-agricultura,,,evidence_supported,BOL-E17;BOL-E18;BOL-E21;BOL-E22;LEG-342db9e7f38f,R25
service-jair_bolsonaro-0-17-end,2023-01-01,services_end,service-jair_bolsonaro-0-17,person-0429cfdf16f2,Augusto Heleno,bolsonaro-gsi,,,adjudicated_source_boundary,AFF-010;AFF-011;BOL-E09;BOL-E10;BOL-E11;LEG-ba6b7e4f1910,POPULATION-REVIEW;R20
service-jair_bolsonaro-0-20-end,2023-01-01,services_end,service-jair_bolsonaro-0-20,person-99dce727f50d,Paulo Sérgio Nogueira de Oliveira,bolsonaro-defesa,,,adjudicated_source_boundary,LEG-70db330a83a1,POPULATION-REVIEW
service-jair_bolsonaro-0-22-end,2023-01-01,services_end,service-jair_bolsonaro-0-22,person-ebaf14a16f4d,Carlos França,bolsonaro-relacoes-exteriores,,,adjudicated_actual_direction_before_public_possession,C072;LEG-9dd6c6a98b8f,C072;POPULATION-REVIEW
service-jair_bolsonaro-0-24-end,2023-01-01,services_end,service-jair_bolsonaro-0-24,person-6e58f0606af5,Wagner Rosário,bolsonaro-cgu,,,adjudicated_source_boundary,LEG-0a433c253eb3,POPULATION-REVIEW
service-jair_bolsonaro-0-28-end,2023-01-01,services_end,service-jair_bolsonaro-0-28,person-2c3dff30638f,Marcelo Queiroga,bolsonaro-saude,,,adjudicated_source_boundary,LEG-f48fe3f88953,POPULATION-REVIEW
service-jair_bolsonaro-0-32-end,2023-01-01,services_end,service-jair_bolsonaro-0-32,person-5197b843a7c6,Bruno Bianco Leal,bolsonaro-agu,,,adjudicated_source_boundary,LEG-0619874c39e2,POPULATION-REVIEW
service-jair_bolsonaro-0-38-end,2023-01-01,services_end,service-jair_bolsonaro-0-38,person-0fbaba5c8624,Luiz Eduardo Ramos,bolsonaro-secretaria-geral,,,adjudicated_source_boundary,LEG-e62d7a3cb75d,BOL-A02;POPULATION-REVIEW
service-jair_bolsonaro-0-44-end,2023-01-01,services_end,service-jair_bolsonaro-0-44,person-ad64ef4485f1,Victor Godoy Veiga,bolsonaro-educacao,,,supported_actual_assumption,C048;LEG-ae1c28478e53,C048;POPULATION-REVIEW
service-jair_bolsonaro-0-48-end,2023-01-01,services_end,service-jair_bolsonaro-0-48,person-d75dc2747d17,Célio Faria Júnior,bolsonaro-secretaria-governo,,,adjudicated_source_boundary,C039;LEG-0561fae55600,C039;POPULATION-REVIEW
service-jair_bolsonaro-0-5-end,2023-01-01,services_end,service-jair_bolsonaro-0-5,person-40f3a2e695f4,Paulo Guedes,bolsonaro-economia,,,adjudicated_source_boundary,LEG-24bdcc54c414,POPULATION-REVIEW
service-jair_bolsonaro-0-50-end,2023-01-01,services_end,service-jair_bolsonaro-0-50,person-94039ea6c1ed,Marcelo Sampaio,bolsonaro-infraestrutura,,,adjudicated_source_boundary,LEG-7a6d44294d17,POPULATION-REVIEW
