period,start_date,end_date,minister,office,raw_party,canonical_party_at_date,source_url_or_page,notes
2017.1,2017-12-28,2018-04-06,Gilberto Kassab,"Ciência, Tecnologia, Inovações e Comunicações",PSD,PSD,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Raul Jungmann,Defesa,PPS,PPS,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Osmar Terra,Desenvolvimento Social e Agrário,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Mendonça Filho,Educação,DEM,DEM,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Leonardo Picciani,Esporte,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Henrique Meirelles,Fazenda e Previdência Social,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Helder Barbalho,Integração Nacional,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Sarney Filho,Meio Ambiente,PV,PV,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Fernando Bezerra Coelho Filho,Minas e Energia,PSB,PSB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Ricardo Barros,Saúde,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Maurício Quintella Lessa,"Transportes, Portos e Aviação Civil",PR,PR,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Grace Mendonça,Advocacia-Geral da União,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Marx Beltrão,Turismo,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Luislinda Valois,Direitos Humanos,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Moreira Franco,Secretaria-Geral,MDB,MDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Aloysio Nunes,Relações Exteriores,PSDB,PSDB,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
2017.1,2017-12-28,2018-04-06,Alexandre Baldy,Cidades,PP,PP,https://pt.wikipedia.org/wiki/Lista_de_membros_do_gabinete_de_Michel_Temer,
