election_year,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,3,31,PCB,PEN,29,0.9559661711054946,0.9590643274853801,492,1.5893542228812407,votes+seats,false,false
2014,3,32,PCB,DEM,30,0.9979308585329575,1.0,513,1.0614695725927845,votes+seats,false,false
2014,4,4,PSOL,PSOL,1,0.01792885473971981,0.009746588693957114,5,-4.197502481476263,neither,false,false
2014,4,5,PSOL,PCdoB,2,0.03757867286887992,0.029239766081871343,15,-4.277859181735398,neither,false,false
2014,4,6,PSOL,PT,3,0.1768023050894561,0.16374269005847952,84,-6.699582510890977,neither,false,false
2014,4,7,PSOL,PDT,4,0.21304423586195373,0.20272904483430798,104,-5.291692997182267,neither,false,false
2014,4,8,PSOL,PSB,5,0.2774256770716483,0.26900584795321636,138,-4.319372337755567,neither,false,false
2014,4,9,PSOL,PPS,6,0.2975138275394695,0.2884990253411306,148,-4.624593527747834,neither,false,false
2014,4,10,PSOL,PV,7,0.31810297767496176,0.30409356725146197,156,-7.186827547255376,neither,false,false
2014,4,11,PSOL,PTB,8,0.3583081933018291,0.35282651072124754,181,-2.8121031638383442,neither,false,false
2014,4,12,PSOL,PT DO B,9,0.36665387709442254,0.35477582846003897,182,-6.093438949438763,neither,false,false
2014,4,13,PSOL,SOLIDARIEDADE,10,0.3942815410028708,0.3840155945419103,197,-5.266430534472704,neither,false,false
2014,4,14,PSOL,PMN,11,0.39909353110667134,0.3898635477582846,200,-4.734981457722398,neither,false,false
2014,4,15,PSOL,PHS,12,0.40878039434790614,0.3996101364522417,205,-4.704342300475844,neither,false,false
2014,4,16,PSOL,PMDB,13,0.5196315037794429,0.5263157894736842,270,3.4290385611457737,votes+seats,false,false
2014,4,17,PSOL,PSD,14,0.5809322207384712,0.5964912280701754,306,7.9817707611642845,votes+seats,false,false
2014,4,18,PSOL,PSDB,15,0.69483160628228,0.7017543859649122,360,3.551385977190364,votes+seats,false,false
2014,4,19,PSOL,PTN,16,0.7022598777669691,0.7095516569200779,364,3.7406827055448844,votes+seats,false,false
2014,4,20,PSOL,PPL,17,0.7037107892391825,0.7095516569200779,364,2.9963651202993447,votes+seats,false,false
2014,4,21,PSOL,PRTB,18,0.7083760693839191,0.7115009746588694,365,1.6030764060495244,votes+seats,false,false
2014,4,22,PSOL,PROS,19,0.7286843207411069,0.732943469785575,376,2.184943459812189,votes+seats,false,false
2014,4,23,PSOL,PRP,20,0.7361294685446883,0.7387914230019493,379,1.3655826365749135,votes+seats,false,false
2014,4,24,PSOL,PR,21,0.7940155402239101,0.8050682261208577,413,5.670027865134102,votes+seats,false,false
2014,4,25,PSOL,PRB,22,0.8394657781224851,0.8460038986354775,434,3.3540558231651403,votes+seats,false,false
2014,4,26,PSOL,PTC,23,0.8429387971821252,0.8499025341130604,436,3.572397045569801,votes+seats,false,false
