"check_kind","check_name","observed","expected","passed"
"accounting_identity","2018/2022.4 coalition A+B closure","572092083//32754730","572092083//32754730",true
"accounting_identity","2018/2022.4 member votes","15617697","15617697",true
"accounting_identity","2018/2022.4 calendar days","1","1",true
"accounting_identity","2018/2022.5 member A equals district A_C","9262745225021761844135510559400808359709353483726734858413733387394373544479356736105944720819130977442639774554808340642434456941500095338314526178231//580239935048396645862569161810718677010633457284639238125112462805599626520190878029523388991608411917655537096171439939591136583253696954902887804336","9262745225021761844135510559400808359709353483726734858413733387394373544479356736105944720819130977442639774554808340642434456941500095338314526178231//580239935048396645862569161810718677010633457284639238125112462805599626520190878029523388991608411917655537096171439939591136583253696954902887804336",true
"accounting_identity","2018/2022.5 member B equals district B_C","7264883120758806060944438668323125139762916377484086474125532318605907299288687715070045290890391798565954122333141403338406163519962957519745761663305796877//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640","7264883120758806060944438668323125139762916377484086474125532318605907299288687715070045290890391798565954122333141403338406163519962957519745761663305796877//9502801203863884534067035000718200685720253011162445696096882469416229127384845879159985317552552899045794675295039774466261994588798682629833133125659254640",true
"accounting_identity","2018/2022.5 coalition A+B closure","273962947//16377365","273962947//16377365",true
"accounting_identity","2018/2022.5 member votes","16142116","16142116",true
"accounting_identity","2018/2022.5 calendar days","41","41",true
"accounting_identity","2018/2022.6 member A equals district A_C","1314092609362779219477499359862472278874486578935567188410754686796937143777601419909445336392916070484114142473279281315624454113036319671110463477625//72529991881049580732821145226339834626329182160579904765639057850699953315023859753690423623951051489706942137021429992448892072906712119362860975542","1314092609362779219477499359862472278874486578935567188410754686796937143777601419909445336392916070484114142473279281315624454113036319671110463477625//72529991881049580732821145226339834626329182160579904765639057850699953315023859753690423623951051489706942137021429992448892072906712119362860975542",true
"accounting_identity","2018/2022.6 member B equals district B_C","-2378127467812984684796650310974020252337019035901674062596025212559738884332160620368851252236400156896222936171355316705322943190967894245518253750681338693//593925075241492783379189687544887542857515813197652856006055154338514320461552867447499082347034556190362167205939985904141374661799917664364570820353703415","-2378127467812984684796650310974020252337019035901674062596025212559738884332160620368851252236400156896222936171355316705322943190967894245518253750681338693//593925075241492783379189687544887542857515813197652856006055154338514320461552867447499082347034556190362167205939985904141374661799917664364570820353703415",true
