election_year,ideological_universe,ideological_party_count,start_index,end_index,start_party,end_party,interval_size,vote_share,seat_share,seats,seat_diff,majority_status,coalition_inversion,minimal_ideological_interval_inversion
2014,seat_winning,28,6,16,PPS,PTN,11,0.4248342006953208,0.4405458089668616,226,8.060055043300423,neither,false,false
2014,seat_winning,28,6,17,PPS,PRTB,12,0.42949948084005735,0.442495126705653,227,6.666766329050574,neither,false,false
2014,seat_winning,28,6,18,PPS,PROS,13,0.4498077321972452,0.46393762183235865,238,7.24863338281321,neither,false,false
2014,seat_winning,28,6,19,PPS,PRP,14,0.45725288000082664,0.4697855750487329,241,6.429272559575935,neither,false,false
2014,seat_winning,28,6,20,PPS,PR,15,0.5151389516800483,0.5360623781676414,275,10.733717788135209,votes+seats,false,false
2014,seat_winning,28,6,21,PPS,PRB,16,0.5605891895786235,0.5769980506822612,296,8.417745746166133,votes+seats,false,false
2014,seat_winning,28,6,22,PPS,PTC,17,0.5640622086382635,0.580896686159844,298,8.636086968570794,votes+seats,false,false
2014,seat_winning,28,6,23,PPS,PSDC,18,0.5693000921140916,0.5847953216374269,300,7.949052745471022,votes+seats,false,false
2014,seat_winning,28,6,24,PPS,PSL,19,0.5776068771728774,0.5867446393762183,301,4.687672010313918,votes+seats,false,false
2014,seat_winning,28,6,25,PPS,PP,20,0.6436514318462649,0.6608187134502924,339,8.806815462866098,votes+seats,false,false
2014,seat_winning,28,6,26,PPS,PSC,21,0.6695403110546956,0.6861598440545809,352,8.525820428941188,votes+seats,false,false
2014,seat_winning,28,6,27,PPS,PEN,22,0.676401597800158,0.6900584795321637,354,7.005980328518945,votes+seats,false,false
2014,seat_winning,28,6,28,PPS,DEM,23,0.7183662852276209,0.7309941520467836,375,6.478095678230488,votes+seats,false,false
2014,seat_winning,28,7,7,PV,PV,1,0.02058915013549229,0.015594541910331383,8,-2.562234019507546,neither,false,false
2014,seat_winning,28,7,8,PV,PTB,2,0.060794365762359616,0.06432748538011696,33,1.812490363909518,neither,false,false
2014,seat_winning,28,7,9,PV,PT DO B,3,0.06914004955495308,0.06627680311890838,34,-1.4688454216909292,neither,false,false
2014,seat_winning,28,7,10,PV,SOLIDARIEDADE,4,0.09676771346340131,0.09551656920077972,49,-0.6418370067248702,neither,false,false
2014,seat_winning,28,7,11,PV,PMN,5,0.10157970356720186,0.10136452241715399,52,-0.11038792997455715,neither,false,false
2014,seat_winning,28,7,12,PV,PHS,6,0.11126656680843665,0.1111111111111111,57,-0.07974877272800285,neither,false,false
2014,seat_winning,28,7,13,PV,PMDB,7,0.22211767623997342,0.2378167641325536,122,8.053632088893636,neither,false,false
2014,seat_winning,28,7,14,PV,PSD,8,0.2834183931990017,0.3079922027290448,158,12.606364288912118,neither,false,false
2014,seat_winning,28,7,15,PV,PSDB,9,0.3973177787428106,0.41325536062378165,212,8.17597950493817,neither,false,false
2014,seat_winning,28,7,16,PV,PTN,10,0.40474605022749954,0.42105263157894735,216,8.365276233292747,neither,false,false
2014,seat_winning,28,7,17,PV,PRTB,11,0.40941133037223615,0.42300194931773877,217,6.9719875190428695,neither,false,false
2014,seat_winning,28,7,18,PV,PROS,12,0.4297195817294239,0.4444444444444444,228,7.553854572805534,neither,false,false
2014,seat_winning,28,7,19,PV,PRP,13,0.43716472953300545,0.4502923976608187,231,6.734493749568202,neither,false,false
2014,seat_winning,28,7,20,PV,PR,14,0.4950508012122271,0.5165692007797271,265,11.038938978127504,seats_only,true,false
2014,seat_winning,28,7,21,PV,PRB,15,0.5405010391108023,0.557504873294347,286,8.722966936158457,votes+seats,false,false
2014,seat_winning,28,7,22,PV,PTC,16,0.5439740581704423,0.5614035087719298,288,8.941308158563118,votes+seats,false,false
2014,seat_winning,28,7,23,PV,PSDC,17,0.5492119416462704,0.5653021442495126,290,8.254273935463289,votes+seats,false,false
2014,seat_winning,28,7,24,PV,PSL,18,0.5575187267050562,0.5672514619883041,291,4.9928932003061846,votes+seats,false,false
2014,seat_winning,28,7,25,PV,PP,19,0.6235632813784437,0.6413255360623782,329,9.112036652858365,votes+seats,false,false
2014,seat_winning,28,7,26,PV,PSC,20,0.6494521605868744,0.6666666666666666,342,8.831041618933455,votes+seats,false,false
2014,seat_winning,28,7,27,PV,PEN,21,0.6563134473323368,0.6705653021442495,344,7.311201518511268,votes+seats,false,false
2014,seat_winning,28,7,28,PV,DEM,22,0.6982781347597996,0.7115009746588694,365,6.783316868222812,votes+seats,false,false
2014,seat_winning,28,8,8,PTB,PTB,1,0.040205215626867324,0.04873294346978557,25,4.374724383417064,neither,false,false
2014,seat_winning,28,8,9,PTB,PT DO B,2,0.048550899419460794,0.050682261208576995,26,1.0933885978166131,neither,false,false
2014,seat_winning,28,8,10,PTB,SOLIDARIEDADE,3,0.07617856332790901,0.07992202729044834,41,1.9203970127826793,neither,false,false
2014,seat_winning,28,8,11,PTB,PMN,4,0.08099055343170956,0.08576998050682261,44,2.4518460895329923,neither,false,false
2014,seat_winning,28,8,12,PTB,PHS,5,0.09067741667294435,0.09551656920077972,49,2.4824852467795466,neither,false,false
2014,seat_winning,28,8,13,PTB,PMDB,6,0.2015285261044811,0.2222222222222222,114,10.615866108401192,neither,false,false
2014,seat_winning,28,8,14,PTB,PSD,7,0.26282924306350935,0.29239766081871343,150,15.16859830841969,neither,false,false
2014,seat_winning,28,8,15,PTB,PSDB,8,0.3767286286073183,0.39766081871345027,204,10.738213524445712,neither,false,false
2014,seat_winning,28,8,16,PTB,PTN,9,0.38415690009200726,0.40545808966861596,208,10.927510252800289,neither,false,false
2014,seat_winning,28,8,17,PTB,PRTB,10,0.38882218023674386,0.4074074074074074,209,9.534221538550412,neither,false,false
2014,seat_winning,28,8,18,PTB,PROS,11,0.40913043159393164,0.42884990253411304,220,10.116088592313076,neither,false,false
2014,seat_winning,28,8,19,PTB,PRP,12,0.41657557939751316,0.4346978557504873,223,9.296727769075744,neither,false,false
2014,seat_winning,28,8,20,PTB,PR,13,0.4744616510767348,0.5009746588693957,257,13.601172997635047,seats_only,true,true
2014,seat_winning,28,8,21,PTB,PRB,14,0.5199118889753099,0.5419103313840156,278,11.285200955666028,votes+seats,false,false
2014,seat_winning,28,8,22,PTB,PTC,15,0.52338490803495,0.5458089668615984,280,11.503542178070688,votes+seats,false,false
2014,seat_winning,28,8,23,PTB,PSDC,16,0.5286227915107782,0.5497076023391813,282,10.816507954970803,votes+seats,false,false
2014,seat_winning,28,8,24,PTB,PSL,17,0.5369295765695639,0.5516569200779727,283,7.555127219813755,votes+seats,false,false
2014,seat_winning,28,8,25,PTB,PP,18,0.6029741312429515,0.6257309941520468,321,11.674270672365878,votes+seats,false,false
2014,seat_winning,28,8,26,PTB,PSC,19,0.628863010451382,0.6510721247563352,334,11.393275638441025,votes+seats,false,false
2014,seat_winning,28,8,27,PTB,PEN,20,0.6357242971968444,0.6549707602339181,336,9.873435538018839,votes+seats,false,false
2014,seat_winning,28,8,28,PTB,DEM,21,0.6776889846243074,0.695906432748538,357,9.345550887730326,votes+seats,false,false
2014,seat_winning,28,9,9,PT DO B,PT DO B,1,0.008345683792593471,0.001949317738791423,1,-3.281335785600451,neither,false,false
2014,seat_winning,28,9,10,PT DO B,SOLIDARIEDADE,2,0.03597334770104169,0.031189083820662766,16,-2.454327370634388,neither,false,false
2014,seat_winning,28,9,11,PT DO B,PMN,3,0.040785337804842246,0.037037037037037035,19,-1.9228782938840716,neither,false,false
2014,seat_winning,28,9,12,PT DO B,PHS,4,0.05047220104607703,0.04678362573099415,24,-1.8922391366375173,neither,false,false
2014,seat_winning,28,9,13,PT DO B,PMDB,5,0.1613233104776138,0.17348927875243664,89,6.241141724984118,neither,false,false
2014,seat_winning,28,9,14,PT DO B,PSD,6,0.22262402743664206,0.24366471734892786,125,10.793873925002629,neither,false,false
2014,seat_winning,28,9,15,PT DO B,PSDB,7,0.33652341298045096,0.3489278752436647,179,6.363489141028651,neither,false,false
2014,seat_winning,28,9,16,PT DO B,PTN,8,0.34395168446513996,0.3567251461988304,183,6.5527858693832,neither,false,false
2014,seat_winning,28,9,17,PT DO B,PRTB,9,0.3486169646098765,0.3586744639376218,184,5.1594971551333515,neither,false,false
